;;;;;;;;;;;;
;;-3;-2;-1;0;1;2;3;;;;
Tee Down;;;3;;1;2;;;;;;
Tee alt. [m];;;474;474;474;474;474;474;;;;
"Substations
position";s;15;12;2;1;6;8;17;;;;
;p;16;13;3;;7;9;18;;;;
;d;;14;4;;;10;19;;;;
;f;;;5;;;11;20;;;;
"Segment
length
[m]";s;85;33;161.4;15;35.9;42;77.1;;;;
;p;;143;;29.4;;6;;;;;
;d;;;;;;36;;;;;
;f;;;;;;1;;;;;
"Segment
∆Pl [Pa/m]";s;;;;;;;;;;;
;p;;;;;;;;;;;
;d;;;;;;;;;;;
;f;;;;;;;;;;;
"Diameter
[DN]";s;50;150;125;200;200;125;125;;;;
;p;;150;;200;;125;;;;;
;d;;;;;;125;;;;;
;f;;;;;;125;;;;;
"Velocity
[m/s]";s;;;;;;;;;;;
;p;;;;;;;;;;;
;d;;;;;;;;;;;
;f;;;;;;;;;;;
Elbows;s;4;0;9;1;2;2;5;;;;
;p;;3;;1;;0;;;;;
;d;;;;;;2;;;;;
;f;;;;;;0;;;;;
2-way valves on the network;s;1;1;1;1;1;1;1;;;;
;p;;1;;1;;1;;;;;
;d;;;;;;1;;;;;
;f;;;;;;1;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;13;14;15;16;17;18;19;;;;
